,AV,Cmp%,DOB,End_Year,FF,FGA,FGM,FantPt,G,GS,Int,Player,Pos,QBrec,Rec,Ret,Rt,Rush,Sk,Start_Year,TD,Tkl,XPA,XPM,Y/A,Y/R,Yds,Draft_Pick,Draft_Round,Draft_Year,position_group,injured_pct
22,12,,1992-06-27,2016,,,,,24,,7,Jordan Hicks,OLB,,,,,,,2015,1,,,,,,108,84,3,2008,LB,0.25
23,25,,1990-08-01,2016,,,,,55,55,,Justin Pugh,OG,,,,,,,2013,,,,,,,,19,1,2008,OL,0.12
25,77,,1980-08-19,2013,11,,,,189,,,Will Witherspoon,LB,,,,,,26.0,2002,,755,,,,,,73,3,2008,LB,0.0
26,55,,1988-05-11,2016,,,,913.8,102,,,Jeremy Maclin,WR,,474,,,,,2009,46,,,,,13.5,6395,19,1,2008,WR,0.2
28,43,,1986-07-21,2016,7,,,,135,,,Wesley Woodyard,LB,,,,,,17.5,2008,,408,,,,,,,,,LB,0.08
29,0,,1987-11-11,2011,,,,,10,,,Jermale Hines,DB,,,,,,,2011,,,,,,,,158,5,2008,DB,0.0
30,38,,1978-03-01,2010,4,,,,141,,,Damione Lewis,DT,,,,,,23.5,2001,,190,,,,,,12,1,2008,DL,0.0
32,1,50.0,1985-10-01,2010,,,,1.3,6,,6,Max Hall,QB,1-2-0,,,,,,2010,1,,,,4.7,,370,,,,QB,0.25
33,33,,1989-03-01,2016,4,,,,86,,,Mason Foster,LB,,,,,,7.0,2011,,355,,,,,,84,3,2008,LB,0.15
34,26,,1989-11-12,2016,,,,437.4,66,,,Kendall Wright,WR,,280,,,,,2012,18,,,,,11.6,3244,20,1,2008,WR,0.17
35,1,,1989-10-23,2013,,,,17.7,11,,,Johnathan Franklin,RB,,,,,19,,2013,1,,,,5.6,,107,125,4,2008,RB,0.31
36,8,,1983-06-04,2013,,,,,110,4,,John Wendling,DB,,,,,,,2007,,,,,,,,184,6,2008,DB,0.0
37,11,,1984-06-28,2011,,,,,44,,4,Gerald Alexander,DB,,,,,,,2007,0,,,,,,93,61,2,2008,DB,0.06
38,2,,1984-02-14,2010,,,,,14,2,,Justin Harrell,DT,,,,,,,2007,,,,,,,,16,1,2008,DL,0.97
39,2,,1986-07-28,2011,,,,,32,5,,Donald Washington,DB,,,,,,,2009,,,,,,,,102,4,2008,DB,0.19
40,4,,1987-02-01,2012,,,,72.5,23,,,Montario Hardesty,RB,,,,,153,,2011,1,,,,3.5,,537,,,,RB,0.42
41,15,57.9,1990-10-10,2016,,,,372.4,33,,36,Geno Smith,QB,12-18-0,,,,,,2013,28,,,,6.9,,5962,39,2,2008,QB,0.27
42,24,,1993-01-09,2016,,,,,31,,14,Marcus Peters,CB,,,,,,,2015,2,,,,,,343,18,1,2008,DB,0.06
43,47,,1988-10-10,2016,6,,,,97,,,Linval Joseph,DT,,,,,,16.5,2010,,217,,,,,,46,2,2008,DL,0.08
44,1,,1987-09-16,2014,,,,0.4,6,57,,Chris Williams,WR,,,,24,1,,2014,1,,,,-8.0,,579,,,,WR,0.19
45,16,,1991-07-10,2016,,,,,51,41,,Brian Winters,OG,,,,,,,2013,,,,,,,,72,3,2008,OL,0.27
46,36,,1984-09-16,2016,,,,442.7,116,,,Harry Douglas,WR,,309,,,,,2008,10,,,,,12.1,3751,84,3,2008,WR,0.24
47,2,,1986-10-27,2012,,,,,21,2,,Roddrick Muckelroy,LB,,,,,,,2010,,,,,,,,131,4,2008,LB,0.38
48,0,,1991-08-09,2015,,,,,20,,,Dri Archer,WR,,,,23,,,2014,0,,,,,,515,97,3,2008,WR,0.12
49,1,,1986-09-09,2010,,,,,9,,,Stanley Arnoux,LB,,,,,,,2010,,,,,,,,,,,LB,0.72
50,16,,1991-01-30,2016,,,,,42,31,,Travis Swanson,C,,,,,,,2014,,,,,,,,76,3,2008,OL,0.12
51,2,,1992-02-23,2016,,,,,21,2,,Edmond Robinson,OLB,,,,,,,2015,,,,,,,,232,7,2008,LB,0.06
52,26,,1988-01-23,2016,5,,,,77,,,Nick Fairley,DT,,,,,,20.5,2011,,113,,,,,,13,1,2008,DL,0.24
53,40,,1980-08-17,2012,8,,,,126,,,Corey Williams,DT,,,,,,27.5,2004,,199,,,,,,179,6,2008,DL,0.16
54,33,,1987-06-13,2016,,,,,102,65,,Ted Larsen,C,,,,,,,2010,,,,,,,,205,6,2008,OL,0.0
55,21,,1990-02-06,2016,,,,277.1,69,,,Jermaine Kearse,WR,,153,,,,,2012,11,,,,,13.8,2109,,,,WR,0.04
56,28,,1984-03-18,2013,2,,,,92,,,Omar Gaither,LB,,,,,,6.0,2006,,263,,,,,,168,5,2008,LB,0.47
57,7,,1989-10-19,2015,0,,,,39,,,Brandon Thompson,DT,,,,,,3.0,2012,,34,,,,,,93,3,2008,DL,0.33
58,20,,1984-10-27,2016,,,,,96,,,Will Blackmon,DB,,,,85,,,2006,0,,,,,,1783,115,4,2008,DB,0.28
59,2,,1991-02-22,2013,,,,25.0,10,,,Darius Johnson,WR,,22,,,,,2013,1,,,,,9.5,210,,,,WR,0.06
60,0,,1987-11-25,2012,,,,,5,,,Markus White,DE,,,,,,,2011,,,,,,,,224,7,2008,DL,0.0
62,1,,1983-01-27,2010,,,,13.0,39,,,Deon Anderson,FB,,9,,,,,2007,1,,,,,7.4,67,195,6,2008,FB,0.31
63,30,,1985-07-09,2012,2,,,,70,,,Sedrick Ellis,DT,,,,,,12.5,2008,,100,,,,,,7,1,2008,DL,0.15
64,5,,1989-08-01,2016,,,,,47,5,,Trevin Wade,CB,,,,,,,2012,,,,,,,,245,7,2008,DB,0.0
66,20,,1980-01-15,2011,,,,393.3,98,,,Earnest Graham,RB,,,,,477,,2004,15,,,,4.3,,2047,,,,RB,0.33
67,61,,1979-06-12,2013,,,,882.5,143,,,Dallas Clark,TE,,505,,,,,2003,53,,,,,11.2,5665,24,1,2008,TE,0.25
68,16,,1987-04-08,2016,,,,,67,42,,Shareece Wright,DB,,,,,,,2011,,,,,,,,89,3,2008,DB,0.1
70,1,,1993-06-10,2015,,,,,22,,,Jeoffrey Pagan,DE,,,,,,,2014,,,,,,,,177,6,2008,DL,0.06
71,40,,1985-10-12,2016,,,,,111,,,Lardarius Webb,DB,,,57,,,,2009,1,,,,,,540,88,3,2008,DB,0.12
72,2,,1982-09-09,2010,,,,,35,1,,Abdul Hodge,LB,,,,,,,2006,,,,,,,,67,3,2008,LB,0.0
73,5,,1989-08-09,2016,,,,86.8,68,,,Niles Paul,WR,,55,,,,,2011,2,,,,,13.9,762,155,5,2008,WR,0.35
74,1,,1987-09-18,2012,,,,52.5,10,,,Javarris James,RB,,,,,46,,2010,6,,,,2.4,,112,,,,RB,0.5
75,10,,1987-06-08,2015,,,,156.1,48,,,Tony Moeaki,TE,,91,,,,,2010,6,,,,,13.2,1201,93,3,2008,TE,0.25
76,15,,1989-12-28,2014,,,,,38,32,,Jonathan Martin,OT,,,,,,,2012,,,,,,,,42,2,2008,OL,0.28
77,16,57.5,1988-06-15,2014,,,,345.0,30,,22,Jake Locker,QB,9-14-0,,,,,,2011,27,,,,7.0,,4967,8,1,2008,QB,0.31
78,12,,1989-05-12,2016,,,,,94,,,Nick Bellore,LB,,,,2,,,2011,0,,,,,,8,,,,LB,0.03
79,9,,1990-01-09,2013,,,,168.2,20,,,Justin Blackmon,WR,,93,,,,,2012,6,,,,,13.8,1280,5,1,2008,WR,0.04
80,17,,1988-11-01,2016,,,,,57,,9,Robert Alford,CB,,,,,,,2013,2,,,,,,131,60,2,2008,DB,0.15
81,12,,1991-10-03,2016,,,,,30,29,,A.J. Cann,OG,,,,,,,2015,,,,,,,,67,3,2008,OL,0.0
82,20,,1992-06-03,2016,,,,,39,39,,Ja'Wuan James,OT,,,,,,,2014,,,,,,,,19,1,2008,OL,0.28
85,3,,1987-06-19,2012,,,,,36,1,,Keenan Clayton,LB,,,,,,,2010,,,,,,,,121,4,2008,LB,0.09
86,44,,1982-02-19,2012,,,,,112,,7,Kirk Morrison,LB,,,,,,,2005,0,,,,,,126,78,3,2008,LB,0.06
87,8,,1987-12-17,2012,,,,125.0,35,,,Donald Jones,WR,,82,,,,,2010,6,,,,,10.8,887,,,,WR,0.27
89,22,64.9,1992-11-10,2015,,,,380.1,29,,21,Teddy Bridgewater,QB,17-11-0,,,,,,2014,28,,,,7.2,,6150,32,1,2008,QB,0.35
90,67,,1979-03-19,2012,,,,,175,,26,Sheldon Brown,DB,,,,,,,2002,4,,,,,,419,59,2,2008,DB,0.02
91,143,59.7,1981-01-03,2016,,,,2766.9,201,,215,Eli Manning,QB,108-91-0,,,,,,2004,320,,,,7.1,,48218,1,1,2008,QB,0.0
92,7,,1993-08-16,2016,0,,,,17,,,Trey Flowers,DE,,,,,,7.0,2015,,23,,,,,,101,4,2008,DL,0.34
93,6,,1991-10-17,2016,,,,,23,14,,Billy Turner,OT,,,,,,,2014,,,,,,,,67,3,2008,OL,0.12
94,54,,1979-02-03,2012,1,,,,106,,,Sione Pouha,DT,,,,,,4.5,2005,,192,,,,,,88,3,2008,DL,0.06
95,40,,1985-03-19,2014,,,,,104,,15,Thomas DeCoud,DB,,,,,,,2008,0,,,,,,179,98,3,2008,DB,0.04
97,52,,1984-09-18,2016,,,,,127,,16,Dashon Goldson,DB,,,,,,,2007,2,,,,,,187,126,4,2008,DB,0.06
98,0,,1988-01-20,2012,,,,,17,,,Emanuel Cook,DB,,,,,,,2010,,,,,,,,,,,DB,1.0
100,3,,1986-09-23,2012,,,,,36,,,Ryan Mouton,DB,,,6,,,,2009,0,,,,,,37,94,3,2008,DB,0.52
101,5,,1993-05-24,2016,,,,84.2,28,,,Nelson Agholor,WR,,59,,,,,2015,3,,,,,11.0,648,20,1,2008,WR,0.19
102,1,,1991-02-18,2016,,,,,9,,,Robert Thomas,NT,,,,,,,2015,,,,,,,,,,,DL,0.25
103,23,,1979-01-14,2010,,,,305.5,87,,,Ernest Wilford,WR,,156,,,,,2004,15,,,,,13.8,2145,120,4,2008,WR,0.06
104,16,,1990-05-02,2016,4,,,,47,,,Sio Moore,OLB,,,,,,7.5,2013,,159,,,,,,66,3,2008,LB,0.17
105,6,,1989-04-12,2014,0,,,,34,,,DeAngelo Tyson,DE,,,,,,3.0,2012,,19,,,,,,236,7,2008,DL,0.0
106,2,,1983-01-10,2010,,,,,34,,,Yamon Figurs,WR,,,,85,,,2007,1,,,,,,1956,74,3,2008,WR,0.0
107,10,,1983-10-30,2013,,,,170.8,69,,,Ben Obomanu,WR,,88,,,,,2007,7,,,,,13.8,1217,,,,WR,0.06
108,2,56.1,1985-09-27,2011,,,,38.0,3,,0,Stephen McGee,QB,1-0-0,,,,,,2010,3,,,,5.1,,420,,,,QB,0.19
109,29,,1987-03-26,2013,,,,395.5,70,,,Jermichael Finley,TE,,223,,,,,2008,20,,,,,12.5,2785,91,3,2008,TE,0.3
110,8,,1994-01-06,2016,0,,,,21,,,Eddie Goldman,DT,,,,,,7.0,2015,,28,,,,,,39,2,2008,DL,0.34
111,7,,1989-02-27,2016,17,,,96.3,39,,,Charles Johnson,WR,,60,,,,67.5,2014,2,224,,,,13.9,834,,,,WR,0.08
112,0,,1991-07-17,2015,,,,,4,,,Tayo Fabuluje,OT,,,,,,,2015,,,,,,,,183,6,2008,OL,0.0
113,5,,1993-02-12,2016,1,,,,23,,,Bud Dupree,DE,,,,,,8.5,2015,,36,,,,,,22,1,2008,DL,0.28
114,13,,1988-07-20,2016,3,,,,62,,,Terrell McClain,DL,,,,,,4.5,2011,,58,,,,,,65,3,2008,DL,0.31
115,1,,1989-12-14,2016,,,,18.0,30,,,Isaiah Pead,RB,,15,,,27,,2012,0,,,,3.7,6.7,100,50,2,2008,RB,0.35
117,3,,1989-04-23,2014,,,,,20,1,,Derek Sherrod,OL,,,,,,,2011,,,,,,,,32,1,2008,OL,0.54
118,14,,1987-03-25,2016,0,,,,81,,,Al Woods,DT,,,,,,3.5,2010,,63,,,,,,123,4,2008,DL,0.09
119,1,,1987-10-08,2012,,,,8.0,6,,,Taylor Price,WR,,5,,,,,2010,0,,,,,16.0,80,90,3,2008,WR,0.71
120,0,,1986-07-06,2010,,,,,18,,,Derrick Williams,WR,,,,42,,,2009,0,,,,,,931,82,3,2008,WR,0.19
122,11,,1989-07-11,2016,1,,,,51,,,John Jenkins,DT,,,,,,1.5,2013,,67,,,,,,82,3,2008,DL,0.09
124,41,,1986-06-06,2016,0,,,,122,,,Tyson Jackson,DE,,,,,,9.0,2009,,165,,,,,,3,1,2008,DL,0.08
125,53,,1980-09-29,2012,,,,,163,,20,Chris Hope,DB,,,,,,,2002,1,,,,,,367,94,3,2008,DB,0.19
126,12,,1990-02-24,2016,,,,261.7,57,,,Dwayne Allen,TE,,126,,,,,2012,19,,,,,11.5,1451,64,3,2008,TE,0.34
127,26,,1981-08-08,2010,9,,,,94,,,Bobby McCray,DE,,,,,,29.5,2004,,104,,,,,,249,7,2008,DL,0.0
128,25,,1991-05-29,2016,,,,,47,47,,Justin Britt,OT,,,,,,,2014,,,,,,,,64,2,2008,OL,0.0
129,5,,1994-04-19,2016,1,,,,16,,,Mario Edwards,DE,,,,,,2.0,2015,,34,,,,,,35,2,2008,DL,0.5
130,17,,1989-07-07,2016,,,,,52,,2,Keenan Robinson,OLB,,,,,,,2012,0,,,,,,44,119,4,2008,LB,0.48
131,38,,1990-07-21,2016,6,,,,78,,,Whitney Mercilus,DE,,,,,,37.5,2012,,147,,,,,,26,1,2008,DL,0.02
132,2,,1984-07-25,2010,,,,,20,,,Anthony Waters,LB,,,,,,,2008,,,,,,,,,,,LB,0.38
133,3,,1989-03-15,2013,,,,50.7,25,,,LaVon Brazill,WR,,23,,,,,2012,3,,,,,15.1,347,206,6,2008,WR,0.12
134,8,,1993-04-28,2016,0,,,,31,,,Grady Jarrett,DT,,,,,,4.0,2015,,34,,,,,,137,5,2008,DL,0.06
135,36,,1982-02-11,2013,,,,,133,,13,Jabari Greer,DB,,,,,,,2004,4,,,,,,240,,,,DB,0.21
136,25,,1980-06-18,2013,,,,427.9,149,,,Visanthe Shiancoe,TE,,245,,,,,2003,27,,,,,10.9,2679,91,3,2008,TE,0.12
137,23,,1988-03-14,2016,4,,,,107,,,Arthur Moats,LB,,,,,,16.5,2010,,111,,,,,,178,6,2008,LB,0.1
138,13,,1990-11-15,2016,,,,,29,29,,Michael Schofield,OT,,,,,,,2015,,,,,,,,,,,OL,0.0
139,84,,1986-05-14,2016,13,,,,113,,,Clay Matthews,LB,,,,,,72.5,2009,,310,,,,,,26,1,2008,LB,0.1
140,0,45.5,1979-11-28,2010,,,,8.6,3,,3,Brian St. Pierre,QB,0-1-0,,,,,,2004,2,,,,5.6,,185,,,,QB,0.19
141,34,,1988-07-28,2015,8,,,,75,,,Greg Hardy,DE,,,,,,40.0,2010,,165,,,,,,175,6,2008,DL,0.17
142,1,,1992-03-16,2014,,,,,13,,,Andrew Jackson,ILB,,,,,,,2014,,,,,,,,203,6,2008,LB,0.0
143,0,50.0,1991-09-19,2014,,,,4.0,1,,1,Connor Shaw,QB,0-1-0,,,,,,2014,0,,,,6.3,,177,,,,QB,1.0
144,7,,1980-12-14,2010,,,,80.4,95,,,Sam Aiken,WR,,48,,,,,2003,2,,,,,14.3,684,127,4,2008,WR,0.12
145,6,,1990-11-01,2016,,,,164.4,23,,,Mike Gillislee,RB,,,,,154,,2013,11,,,,5.6,,865,164,5,2008,RB,0.53
146,1,,1986-06-13,2012,,,,,24,2,,Myron Pryor,DT,,,,,,,2009,,,,,,,,207,6,2008,DL,0.62
147,6,,1987-03-22,2013,,,,,47,,10,D.J. Moore,DB,,,,,,,2009,2,,,,,,128,119,4,2008,DB,0.17
148,0,,1988-04-23,2012,,,,,4,,,Scott Lutrus,LB,,,,,,,2011,,,,,,,,,,,LB,1.0
149,7,,1991-06-24,2016,,,,,40,13,,John Urschel,OG,,,,,,,2014,,,,,,,,175,5,2008,OL,0.19
150,18,,1989-11-25,2016,,,,241.2,63,,,Jarius Wright,WR,,135,,,,,2012,8,,,,,13.6,1841,118,4,2008,WR,0.05
151,101,,1977-02-16,2012,,,,,198,195,,Todd McClure,C,,,,,,,2000,,,,,,,,,,,OL,0.05
152,45,,1990-08-18,2016,2,,,,78,,,Dontari Poe,DT,,,,,,13.0,2012,,156,,,,,,11,1,2008,DL,0.02
154,27,,1991-06-18,2016,,,,,57,57,,Larry Warford,OG,,,,,,,2013,,,,,,,,65,3,2008,OL,0.09
155,6,,1992-09-15,2015,,,,121.4,29,,,Bishop Sankey,RB,,,,,199,,2014,3,,,,3.8,,762,54,2,2008,RB,0.0
156,22,,1991-05-07,2015,,,,382.4,64,,,Rueben Randle,WR,,188,,,,,2012,20,,,,,14.1,2644,63,2,2008,WR,0.0
157,39,,1982-07-13,2015,5,,,,147,,,Jason Hatcher,DE,,,,,,34.5,2006,,175,,,,,,92,3,2008,DL,0.11
158,24,,1985-06-17,2015,,,,,117,,5,Craig Dahl,DB,,,,,,,2007,0,,,,,,58,,,,DB,0.05
159,86,61.5,1988-02-07,2016,,,,1890.0,109,,108,Matthew Stafford,QB,51-58-0,,,,,,2009,187,,,,7.1,,30303,1,1,2008,QB,0.24
160,29,,1987-12-15,2016,,,,,69,,10,Josh Norman,CB,,,,,,,2012,2,,,,,,210,143,5,2008,DB,0.03
161,79,,1990-07-11,2016,,,,,96,,,Patrick Peterson,CB,,,173,,,,2011,4,,,,,,1664,5,1,2008,DB,0.0
162,54,,1980-10-14,2012,,,,,122,,,Terrence McGee,DB,,,,207,,,2003,5,,,,,,5450,111,4,2008,DB,0.48
163,2,58.7,1988-07-05,2015,,,,33.1,3,,6,Kellen Moore,QB,0-2-0,,,,,,2012,4,,,,7.5,,779,,,,QB,1.0
164,37,,1979-08-27,2010,,,,591.2,111,,,Ladell Betts,RB,,,,,821,,2002,15,,,,4.1,,3326,56,2,2008,RB,0.25
165,3,,1991-06-09,2016,,,,80.7,61,,,Stepfan Taylor,RB,,,,,120,,2013,1,,,,3.3,,393,140,5,2008,RB,0.06
166,5,,1993-03-15,2016,,,,,20,14,,Jamon Brown,OT,,,,,,,2015,,,,,,,,72,3,2008,OL,0.44
167,35,,1986-08-11,2016,,,,,98,,13,Tracy Porter,DB,,,,,,,2008,3,,,,,,212,40,2,2008,DB,0.26
168,22,,1987-10-08,2016,5,,,263.3,78,,,Chris Baker,DT,,168,,,,12.5,2009,15,97,,,,10.5,1763,,,,DL,0.02
169,7,,1986-08-04,2015,,,,163.9,60,,,Garrett Graham,TE,,100,,,,,2010,10,,,,,10.6,1059,118,4,2008,TE,0.24
172,48,,1981-12-12,2014,,,,974.2,132,,,Ronnie Brown,RB,,,,,1281,,2005,38,,,,4.2,,5391,2,1,2008,RB,0.15
173,3,,1988-11-25,2016,,,,,26,5,,Rontez Miles,FS,,,,,,,2013,,,,,,,,,,,DB,0.06
174,5,,1992-02-19,2016,3,,,,40,,,Kareem Martin,DE,,,,,,2.5,2014,,15,,,,,,84,3,2008,DL,0.19
175,5,,1991-02-01,2016,,,,,54,2,,Kayvon Webster,CB,,,,,,,2013,,,,,,,,90,3,2008,DB,0.16
176,0,,1987-01-15,2010,,,,,2,1,,Rashawn Jackson,RB,,,,,,,2010,,,,,,,,,,,RB,1.0
177,16,,1977-02-22,2011,,,,204.7,184,,,Reggie Kelly,TE,,195,,,,,1999,5,,,,,9.1,1767,,,,TE,0.5
178,4,,1991-08-12,2015,,,,,8,8,,Hroniss Grasu,C,,,,,,,2015,,,,,,,,71,3,2008,OL,0.62
179,38,,1981-06-23,2011,,,,,101,,25,O.J. Atogwe,DB,,,,,,,2005,1,,,,,,382,66,3,2008,DB,0.15
180,77,,1988-07-10,2016,,,,1146.0,101,,,Antonio Brown,WR,,632,,,,,2010,50,,,,,13.3,8377,195,6,2008,WR,0.06
181,3,,1983-08-19,2011,1,,,,44,,,John McCargo,DT,,,,,,2.5,2006,,35,,,,,,26,1,2008,DL,0.25
182,38,,1986-10-09,2013,3,,,,59,,,Daryl Washington,LB,,,,,,18.0,2010,,325,,,,,,47,2,2008,LB,0.06
183,8,,1990-09-11,2016,1,,,,49,,,David Bass,DE,,,,,,5.5,2013,,49,,,,,,233,7,2008,DL,0.0
184,36,57.9,1983-05-18,2011,,,,620.5,60,,51,Vince Young,QB,31-19-0,,,,,,2006,46,,,,6.9,,8964,3,1,2008,QB,0.25
185,38,56.7,1986-11-11,2016,,,,856.6,77,,86,Mark Sanchez,QB,37-35-0,,,,,,2009,86,,,,6.7,,15219,5,1,2008,QB,0.22
186,51,,1990-01-23,2016,12,,,,78,,,Lavonte David,OLB,,,,,,18.0,2012,,471,,,,,,58,2,2008,LB,0.03
187,38,,1987-07-09,2016,1,,,,112,,,Roy Miller,DT,,,,,,8.0,2009,,168,,,,,,81,3,2008,DL,0.13
188,15,,1993-01-08,2016,,,,397.3,48,,,Isaiah Crowell,RB,,,,,531,,2014,19,,,,4.3,,2265,,,,RB,0.0
189,9,,1991-10-03,2016,,,,,36,18,,Will Sutton,DT,,,,,,,2014,,,,,,,,82,3,2008,DL,0.21
191,23,,1983-05-26,2012,7,,,,98,,,Mark Anderson,DE,,,,,,36.5,2006,,132,,,,,,159,5,2008,DL,0.16
192,30,,1985-09-13,2013,,,,452.9,91,,,Davone Bess,WR,,363,,,,,2008,14,,,,,10.5,3809,,,,WR,0.1
193,84,,1984-01-13,2016,,,,,164,164,,Nick Mangold,C,,,,,,,2006,,,,,,,,29,1,2008,OL,0.08
194,2,,1986-06-24,2010,,,,,23,,,Brandon Underwood,DB,,,,,,,2009,,,,,,,,187,6,2008,DB,0.08
195,42,,1990-07-12,2016,14,,,,71,,,Chandler Jones,DE,,,,,,47.0,2012,,172,,,,,,21,1,2008,DL,0.19
197,3,,1984-07-15,2010,,,,61.1,36,,,Quinton Ganther,RB,,,,,80,,2006,3,,,,3.5,,280,246,7,2008,RB,0.06
198,4,,1986-08-08,2016,,,,,40,4,,Tony Bergstrom,OT,,,,,,,2012,,,,,,,,95,3,2008,OL,1.0
199,236,63.8,1977-08-03,2016,,,,4107.2,237,,152,Tom Brady,QB,183-52-0,,,,,,2000,456,,,,7.5,,61582,199,6,2008,QB,0.0
200,53,,1989-12-05,2016,4,,,,94,,,Jurrell Casey,DL,,,,,,33.0,2011,,221,,,,,,77,3,2008,DL,0.04
201,13,,1988-08-15,2016,,,,,60,,2,J.T. Thomas,LB,,,,,,,2012,0,,,,,,10,,,,LB,0.45
202,2,,1991-03-05,2015,,,,,26,,,Stansly Maponga,DE,,,,,,,2013,,,,,,,,153,5,2008,DL,0.06
203,49,59.8,1987-11-03,2016,,,,1000.9,69,,30,Colin Kaepernick,QB,28-30-0,,,,,,2011,72,,,,7.3,,12271,36,2,2008,QB,0.15
204,63,,1986-12-03,2016,1,,,,117,,,James Laurinaitis,LB,,,,,,16.5,2009,,663,,,,,,35,2,2008,LB,0.0
205,25,,1989-02-13,2016,,,,422.4,86,,,Charles Clay,TE,,269,,,,,2011,21,,,,,10.7,2889,174,6,2008,TE,0.11
206,6,,1989-12-05,2016,,,,,35,14,,Blidi Wreh-Wilson,CB,,,,,,,2013,,,,,,,,70,3,2008,DB,0.21
207,10,,1984-02-23,2011,,,,,54,,4,Jonathan Wilhite,DB,,,,,,,2008,0,,,,,,35,129,4,2008,DB,0.19
208,30,,1987-05-08,2013,,,,472.1,80,,,Felix Jones,RB,,,,,617,,2008,11,,,,4.7,,2912,22,1,2008,RB,0.09
209,23,,1983-02-28,2010,,,,,90,,6,Josh Bullocks,DB,,,,,,,2005,0,,,,,,94,40,2,2008,DB,0.0
210,42,,1984-01-24,2014,3,,,,118,,,Parys Haralson,DE,,,,,,28.0,2006,,184,,,,,,140,5,2008,DL,0.03
211,22,,1985-07-12,2015,9,,,,94,,,Jasper Brinkley,LB,,,,,,2.0,2009,,212,,,,,,150,5,2008,LB,0.27
212,25,55.2,1980-08-23,2012,,,,519.5,54,,60,Rex Grossman,QB,25-22-0,,,,,,2003,56,,,,6.6,,10232,22,1,2008,QB,0.06
214,3,,1985-10-28,2012,,,,,37,,2,Darcel McBath,DB,,,,,,,2009,0,,,,,,28,48,2,2008,DB,0.29
215,52,,1980-12-01,2012,,,,724.2,158,,,Jabar Gaffney,WR,,447,,,,,2002,24,,,,,12.7,5690,33,2,2008,WR,0.02
216,4,,1986-01-04,2012,,,,85.7,35,,,Deon Butler,WR,,57,,,,,2009,4,,,,,10.7,611,91,3,2008,WR,0.41
217,30,,1985-02-16,2014,,,,,81,52,,Mike Pollak,C,,,,,,,2008,,,,,,,,59,2,2008,OL,0.38
218,13,,1985-04-15,2015,,,,221.6,105,,,Andre Caldwell,WR,,156,,,,,2008,11,,,,,9.7,1509,97,3,2008,WR,0.05
